Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
427,80,RL,,13000,Pave,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1990,13000,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,200,Gd,TA,PConc,Gd,TA,Gd,GLQ,13000,Unf,13000,,,GasA,Gd,Y,SBrkr,1700,0,13000,13000,1,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1990,Fin,2,13000,TA,TA,Y,13000,,13000,13000,13000,13000,,0,8,2009,WD,Normal,275000
512,120,RL,40,7000,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2010,7000,Gable,CompShg,VinylSd,VinylSd,Stone,100,Gd,TA,PConc,Gd,TA,No,Unf,7000,Unf,7000,100,100,GasA,Ex,Y,SBrkr,1400,0,7000,7000,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2010,RFn,2,7000,TA,TA,Y,7000,100,7000,7000,7000,7000,,0,3,2006,New,Partial,202665
513,20,RL,70,10000,Pave,Reg,Lvl,AllPub,Corner,Gtl,mes,Feedr,Norm,1Fam,1Story,5,5,1960,10000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,BLQ,10000,LwQ,10000,100,100,GasA,TA,Y,SBrkr,900,0,10000,10000,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1970,Unf,2,10000,TA,TA,Y,10000,100,10000,10000,10000,10000,,0,7,2006,WD,Normal,129900
191,70,RL,70,11000,Pave,Reg,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,8,1940,11000,Hip,CompShg,BrkFace,BrkFace,None,0,Gd,TA,CBlock,Gd,Gd,No,Rec,11000,Unf,11000,100,100,GasA,TA,Y,SBrkr,1600,1200,11000,11000,0,0,2,1,3,1,Gd,10,Maj1,2,TA,Detchd,1940,Unf,2,11000,TA,TA,Y,11000,100,11000,11000,11000,11000,,0,12,2007,WD,Normal,315000
105,50,RM,,8000,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1940,8000,Gable,CompShg,Stucco,Stucco,BrkFace,600,TA,Fa,PConc,TA,TA,No,LwQ,8000,Unf,8000,,,GasA,Ex,Y,FuseF,1300,600,8000,8000,0,0,1,1,4,1,TA,7,Typ,2,TA,Detchd,1960,Unf,1,8000,TA,TA,Y,8000,,8000,8000,8000,8000,,0,6,2007,WD,Normal,169500
246,20,RL,80,11000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1990,11000,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,200,TA,TA,CBlock,Gd,TA,Av,GLQ,11000,Unf,11000,100,100,GasA,Gd,Y,SBrkr,1900,0,11000,11000,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1990,Fin,2,11000,TA,TA,Y,11000,100,11000,11000,11000,11000,,0,6,2006,WD,Normal,241500
1309,20,RM,100,12000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7,1950,12000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,12000,ALQ,12000,100,100,GasA,Ex,Y,SBrkr,1200,0,12000,12000,1,0,1,0,2,1,Gd,6,Typ,0,,Attchd,1950,Unf,2,12000,TA,TA,Y,12000,100,12000,12000,12000,12000,GdWo,0,5,2008,WD,Normal,147000
591,60,RL,70,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2010,9000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,9000,Unf,9000,100,100,GasA,Ex,Y,SBrkr,800,900,9000,9000,0,0,2,1,3,1,Gd,6,Typ,0,,Attchd,2010,RFn,2,9000,TA,TA,Y,9000,100,9000,9000,9000,9000,,0,9,2008,WD,Normal,185900
385,60,RL,,54000,Pave,IR2,Low,AllPub,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5,2000,54000,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,54000,Unf,54000,,,GasA,Ex,Y,SBrkr,1100,900,54000,54000,1,0,2,1,3,1,Gd,9,Typ,2,Fa,Attchd,2000,Fin,2,54000,TA,TA,Y,54000,,54000,54000,54000,54000,,0,6,2007,WD,Normal,240000
514,20,RL,80,10000,Pave,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,1990,10000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,PConc,TA,TA,No,ALQ,10000,Unf,10000,100,100,GasA,TA,Y,SBrkr,1100,0,10000,10000,0,0,1,1,3,1,TA,5,Typ,0,,Attchd,1990,Unf,2,10000,TA,TA,Y,10000,100,10000,10000,10000,10000,,0,6,2007,WD,Normal,134000
515,45,RL,60,11000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Unf,5,5,1930,11000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,11000,Unf,11000,100,100,Grav,Fa,N,SBrkr,800,0,11000,11000,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1930,Unf,1,11000,Po,Po,Y,11000,100,11000,11000,11000,11000,MnPrv,0,6,2007,WD,Normal,96500
516,20,RL,100,13000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2010,13000,Hip,CompShg,CemntBd,CmentBd,BrkFace,400,Ex,TA,CBlock,Ex,TA,No,GLQ,13000,Unf,13000,100,100,GasA,Ex,Y,SBrkr,2100,0,13000,13000,1,0,2,1,3,1,Ex,9,Typ,1,Gd,Attchd,2010,Fin,3,13000,TA,TA,Y,13000,100,13000,13000,13000,13000,,0,9,2009,New,Partial,402861
517,80,RL,,11000,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,6,1980,11000,Gable,CompShg,HdBoard,HdBoard,BrkFace,400,TA,TA,CBlock,TA,TA,No,Unf,11000,Unf,11000,,,GasA,TA,Y,SBrkr,1400,800,11000,11000,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1980,RFn,2,11000,TA,TA,Y,11000,,11000,11000,11000,11000,GdPrv,0,8,2009,COD,Abnorml,158000
518,60,RL,80,11000,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,2000,11000,Gable,CompShg,VinylSd,VinylSd,BrkFace,1000,Gd,TA,PConc,Gd,TA,No,Unf,11000,Unf,11000,100,100,GasA,Ex,Y,SBrkr,1300,1100,11000,11000,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2000,RFn,3,11000,TA,TA,Y,11000,100,11000,11000,11000,11000,,0,7,2009,WD,Normal,265000
